name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Aidan Carpenter,18.0,8.0,22.8,2.8,6.5,0.427,2.3,4.7,0.5,0.4,1.8,0.242,0.9,1.3,0.667,0.4,0.9,0
Aitor Zubizarreta,32.0,1.0,5.3,0.2,0.7,0.333,0.2,0.3,0.6,0.0,0.3,0.091,0.2,0.2,0.714,0.1,0.4,0
Ajak Magot,50.0,29.0,14.9,1.2,2.5,0.472,1.2,2.4,0.475,0.0,0.0,0.0,0.5,0.9,0.587,1.2,1.2,0
Ajang Aguek,57.0,3.0,9.3,1.0,1.9,0.509,0.9,1.5,0.576,0.1,0.4,0.28,0.5,0.8,0.609,0.5,1.0,0
Ajay Calvin,63.0,60.0,29.2,5.4,10.9,0.493,5.1,10.1,0.506,0.3,0.8,0.34,2.2,3.2,0.68,2.3,3.4,0
Ajay Mitchell,12.0,8.0,29.1,3.0,5.3,0.571,2.4,3.5,0.69,0.6,1.8,0.333,1.6,2.2,0.731,0.1,1.8,0
Akbar Abdul-Ahad,57.0,31.0,28.6,2.8,7.2,0.384,0.9,2.2,0.383,1.9,5.0,0.385,2.3,2.9,0.798,0.2,2.2,0
Akeem Anderson,24.0,1.0,9.3,0.8,1.9,0.435,0.8,1.9,0.435,0.0,0.0,0.667,0.3,0.6,0.533,0.7,1.1,0
Akeem Bennett,58.0,55.0,34.4,4.5,11.4,0.392,3.4,7.7,0.436,1.1,3.7,0.301,4.2,6.2,0.666,1.9,4.2,0
Akeem Clark,61.0,58.0,35.5,5.0,12.1,0.409,1.9,4.1,0.466,3.0,8.0,0.38,2.1,2.8,0.746,1.5,2.2,0
Akeem Hemingway,24.0,7.0,11.1,0.4,1.2,0.321,0.2,0.5,0.385,0.2,0.6,0.267,0.2,0.2,1.0,0.0,0.5,0
Akeem Williams,28.0,28.0,32.0,5.2,13.5,0.383,3.3,7.9,0.41,1.9,5.6,0.344,3.5,4.4,0.803,0.9,3.1,0
Akeem Wright,63.0,45.0,28.1,2.4,6.6,0.373,2.3,5.7,0.393,0.2,0.8,0.231,1.3,2.1,0.603,1.6,4.3,0
Akeim Claborn,43.0,33.0,25.3,4.0,8.0,0.5,3.4,6.0,0.558,0.6,1.9,0.317,3.3,5.4,0.601,2.3,4.3,0
Akida McLain,40.0,2.0,10.9,1.6,3.1,0.508,1.6,2.9,0.53,0.0,0.1,0.0,0.9,1.3,0.679,1.4,1.3,0
